participant,block,trial,flankers,rt
s25,1,1,congruent,0.65207195282
s25,1,2,neutral,0.64487195015
s25,1,3,congruent,0.445182085037
s25,1,4,neutral,0.525199890137
s25,1,5,congruent,0.533328056335
s25,1,6,neutral,0.43331694603
s25,1,7,congruent,0.40128993988
s25,1,8,incongruent,0.481374025345
s25,1,9,neutral,0.593304872513
s25,1,10,neutral,0.521326065063
s25,1,11,neutral,0.377228021622
s25,1,12,neutral,0.508828878403
s25,1,13,neutral,0.513313055038
s25,1,14,incongruent,0.445231199265
s25,1,15,incongruent,0.469173908234
s25,1,16,neutral,0.449393033981
s25,1,17,incongruent,0.508955001831
s25,1,18,neutral,0.405166149139
s25,1,19,neutral,0.469349861145
s25,1,20,congruent,0.390952825546
s25,1,21,incongruent,0.469263076782
s25,1,22,congruent,0.649385929108
s25,1,23,incongruent,0.428949832916
s25,1,24,neutral,0.537326097488
s25,1,25,incongruent,0.561267137527
s25,1,26,neutral,0.481292009354
s25,1,27,incongruent,0.757436990738
s25,1,28,neutral,0.481197118759
s25,1,29,congruent,0.609351158142
s25,1,30,neutral,0.373270988464
s25,1,31,congruent,0.405097007751
s25,1,32,neutral,0.432817935944
s25,2,1,congruent,0.624245166779
s25,2,2,neutral,0.437269926071
s25,2,3,congruent,0.421315193176
s25,2,4,neutral,0.541367053986
s25,2,5,incongruent,0.472890853882
s25,2,6,neutral,0.917222976685
s25,2,7,neutral,0.405487060547
s25,2,8,congruent,0.409248113632
s25,2,9,congruent,0.330842971802
s25,2,10,incongruent,0.349264144897
s25,2,11,neutral,0.505388021469
s25,2,12,neutral,0.369192123413
s25,2,13,neutral,0.41338300705
s25,2,14,congruent,0.373312950134
s25,2,15,neutral,0.416830062866
s25,2,16,incongruent,0.449272871017
s25,2,17,incongruent,0.461314916611
s25,2,18,incongruent,0.533325910568
s25,2,19,neutral,0.441260099411
s25,2,20,neutral,0.453444004059
s25,2,21,congruent,0.441255092621
s25,2,22,neutral,0.425260066986
s25,2,23,incongruent,0.569309949875
s25,2,24,neutral,0.441025018692
s25,2,25,incongruent,0.445288896561
s25,2,26,incongruent,0.492945194244
s25,2,27,congruent,0.369355916977
s25,2,28,neutral,0.497339010239
s25,2,29,congruent,0.497334957123
s25,2,30,neutral,0.620866060257
s25,2,31,neutral,0.433330059052
s25,2,32,neutral,0.457262992859
s25,3,1,neutral,0.511882066727
s25,3,2,congruent,0.389305114746
s25,3,3,congruent,0.413264036179
s25,3,4,neutral,0.413079023361
s25,3,5,incongruent,0.456300973892
s25,3,6,neutral,0.458661794662
s25,3,7,neutral,0.384912014008
s25,3,8,incongruent,0.305381059647
s25,3,9,neutral,0.589267015457
s25,3,10,congruent,0.413219928741
s25,3,11,incongruent,0.349279165268
s25,3,12,neutral,0.461016178131
s25,3,13,neutral,0.385390043259
s25,3,14,neutral,0.425364017487
s25,3,15,congruent,0.56930398941
s25,3,16,incongruent,0.628632068634
s25,3,17,congruent,0.469079017639
s25,3,18,neutral,0.441300153732
s25,3,19,congruent,0.385201931
s25,3,20,incongruent,0.469331026077
s25,3,21,incongruent,0.509392976761
s25,3,22,neutral,0.413425922394
s25,3,23,neutral,0.349415063858
s25,3,24,neutral,0.441250085831
s25,3,25,neutral,0.453386068344
s25,3,26,neutral,0.597087144852
s25,3,27,congruent,0.693356990814
s25,3,28,incongruent,0.621278047562
s25,3,29,neutral,0.533236980438
s25,3,30,neutral,0.433327913284
s25,3,31,incongruent,0.477416038513
s25,3,32,congruent,0.417224884033
s25,4,1,incongruent,0.600230932236
s25,4,2,congruent,0.345216035843
s25,4,3,neutral,0.527187108994
s25,4,4,congruent,0.449315786362
s25,4,5,neutral,0.440804958344
s25,4,6,neutral,0.361154079437
s25,4,7,congruent,0.429431915283
s25,4,8,neutral,0.497350931168
s25,4,9,neutral,0.451288938522
s25,4,10,neutral,0.42928814888
s25,4,11,neutral,0.481360912323
s25,4,12,congruent,0.385312080383
s25,4,13,neutral,0.441353797913
s25,4,14,congruent,0.44539308548
s25,4,15,neutral,0.357307910919
s25,4,16,neutral,0.485283136368
s25,4,17,congruent,0.425232887268
s25,4,18,neutral,0.581176042557
s25,4,19,incongruent,0.63739490509
s25,4,20,neutral,0.517218828201
s25,4,21,congruent,0.455054998398
s25,4,22,incongruent,0.817285060883
s25,4,23,incongruent,0.401317834854
s25,4,24,neutral,0.573409080505
s25,4,25,neutral,0.517199993134
s25,4,26,neutral,0.453162908554
s25,4,27,congruent,0.52147102356
s25,4,28,neutral,0.465439081192
s25,4,29,incongruent,0.413139104843
s25,4,30,incongruent,0.53337097168
s25,4,31,incongruent,0.60098195076
s25,4,32,incongruent,0.59721493721
s25,5,1,neutral,0.560128927231
s25,5,2,neutral,0.485110044479
s25,5,3,incongruent,0.525269985199
s25,5,4,neutral,0.545288085938
s25,5,5,incongruent,0.440720081329
s25,5,6,neutral,0.593365192413
s25,5,7,congruent,0.441401004791
s25,5,8,neutral,0.516845941544
s25,5,9,neutral,0.525309085846
s25,5,10,neutral,0.485378026962
s25,5,11,neutral,0.497414112091
s25,5,12,neutral,0.423600912094
s25,5,13,incongruent,0.58136510849
s25,5,14,incongruent,0.721394062042
s25,5,15,neutral,0.648820161819
s25,5,16,neutral,0.469413995743
s25,5,17,incongruent,0.469254970551
s25,5,18,congruent,0.393379926682
s25,5,19,neutral,0.453372001648
s25,5,20,neutral,0.413339853287
s25,5,21,incongruent,0.485388994217
s25,5,22,congruent,0.397363185883
s25,5,23,incongruent,0.6292719841
s25,5,24,congruent,0.402877807617
s25,5,25,congruent,0.385360002518
s25,5,26,congruent,0.457247972488
s25,5,27,incongruent,0.361297130585
s25,5,28,neutral,0.505273103714
s25,5,29,neutral,0.357315063477
s25,5,30,congruent,0.389290094376
s25,5,31,neutral,0.400708913803
s25,5,32,congruent,0.377210140228
s18,1,1,neutral,0.504320144653
s18,1,2,congruent,0.406466960907
s18,1,3,neutral,0.406571149826
s18,1,4,neutral,0.386453866959
s18,1,5,neutral,0.517724990845
s18,1,6,congruent,0.457520008087
s18,1,7,neutral,0.610374927521
s18,1,8,neutral,0.446539163589
s18,1,9,congruent,0.450479030609
s18,1,10,neutral,0.553858041763
s18,1,11,neutral,0.413211107254
s18,1,12,incongruent,0.342198133469
