Intensity,Trial,SpikeTime
0,1,14
0,1,18
0,3,14
0,3,20
0,4,14
0,5,18
0,6,13
1,0,17
1,1,13
1,2,20
1,6,13
1,6,18
1,8,15
2,1,18
2,4,17
2,5,16
2,5,15
2,9,20
2,9,17
3,1,20
3,1,15
3,1,20
3,1,16
3,2,10
3,3,18
3,4,14
3,4,17
3,4,12
3,4,18
3,7,11
3,9,12
3,9,17
4,0,11
4,0,10
4,1,4
4,2,17
4,2,11
4,2,20
4,4,7
4,4,20
4,5,13
4,6,20
4,7,19
4,8,15
4,8,13
5,0,15
5,1,8
5,1,11
5,2,14
5,2,10
5,2,18
5,3,10
5,4,12
5,4,14
5,4,16
5,5,14
5,5,18
5,6,16
5,7,10
5,7,9
5,7,18
5,7,18
5,8,14
5,8,19
5,9,14
5,9,15
5,9,16
6,0,8
6,0,12
6,0,14
6,1,14
6,1,14
6,1,16
6,2,0
6,2,17
6,2,13
6,2,20
6,3,14
6,3,17
6,3,13
6,4,8
6,4,10
6,4,15
6,5,11
6,5,12
6,5,12
6,5,20
6,6,13
6,6,14
6,6,16
6,6,17
6,6,17
6,7,5
6,7,15
6,7,18
6,7,19
6,8,3
6,8,13
6,8,15
6,8,20
6,9,11
6,9,19
7,0,10
7,0,10
7,0,12
7,0,14
7,0,16
7,0,17
7,1,9
7,1,11
7,1,14
7,1,17
7,2,8
7,2,9
7,2,10
7,2,14
7,2,16
7,2,17
7,2,19
7,3,6
7,3,11
7,3,13
7,3,19
7,3,20
7,4,3
7,4,10
7,4,14
7,5,7
7,5,9
7,5,13
7,5,17
7,5,20
7,6,7
7,6,11
7,6,13
7,6,19
7,6,20
7,7,10
7,7,11
7,7,14
7,7,17
7,8,10
7,8,10
7,8,11
7,8,19
7,9,10
7,9,14
8,0,6
8,0,9
8,0,11
8,0,17
8,0,18
8,1,8
8,1,9
8,1,11
8,1,18
8,2,1
8,2,10
8,2,13
8,2,19
8,3,8
8,3,9
8,3,12
8,3,13
8,3,16
8,3,17
8,4,8
8,4,9
8,4,11
8,4,18
8,5,0
8,5,10
8,5,11
8,5,16
8,6,8
8,6,9
8,6,11
8,6,18
8,7,9
8,7,11
8,7,13
8,7,17
8,8,8
8,8,9
8,8,12
8,8,13
8,8,16
8,8,17
8,9,8
8,9,9
8,9,10
8,9,13
8,9,14
8,9,17
8,9,18
9,0,5
9,0,8
9,0,10
9,0,16
9,0,17
9,1,8
9,1,11
9,2,7
9,2,8
9,2,10
9,2,17
9,3,0
9,3,9
9,3,12
9,3,18
9,4,8
9,4,11
9,5,0
9,5,9
9,5,12
9,5,18
9,6,8
9,6,11
9,7,8
9,7,11
9,8,0
9,8,9
9,8,12
9,8,18
9,9,7
9,9,8
9,9,9
9,9,12
9,9,13
9,9,16
9,9,17
